rank,country,january,february,march,april,may,june,july,august,september,october,total,share
,Grand Total,"464,168","466,032","475,643","458,083","389,288","448,867","516,304","437,648","382,346","406,901","4,445,280",100.00%
,* Overseas Filipinos,"38,980","34,337","39,351","40,763","36,195","41,657","48,385","33,619","26,046","28,778","368,111",8.28%
,Foreign Tourists,"425,188","431,695","436,292","417,320","353,093","407,210","467,919","404,029","356,300","378,123","4,077,169",91.72%
1,SOUTH KOREA,"126,263","126,692","106,744","94,217","98,433","116,414","139,528","134,346","113,772","114,089","1,170,498",26.33%
2,UNITED STATES OF AMERICA,"87,440","85,917","80,284","75,830","71,249","93,597","85,918","52,452","50,188","59,420","742,295",16.70%
3,JAPAN,"15,178","23,013","26,356","23,655","21,179","19,676","27,148","38,929","27,866","24,674","247,674",5.57%
4,CHINA,"9,648","14,904","19,281","25,076","18,071","21,818","33,874","31,656","25,355","23,728","223,411",5.03%
5,AUSTRALIA,"23,731","20,723","23,715","26,966","19,054","19,837","19,007","15,661","19,833","18,839","207,366",4.66%
6,CANADA,"24,660","23,319","22,287","20,844","17,242","12,345","18,462","13,638","12,252","15,576","180,625",4.06%
7,TAIWAN,"18,040","12,991","13,513","14,603","11,096","19,622","23,207","18,777","15,696","19,083","166,628",3.75%
8,UNITED KINGDOM,"12,886","12,049","17,831","15,451","10,611","9,217","17,802","11,299","7,550","10,313","125,009",2.81%
9,SINGAPORE,"10,020","11,403","14,433","13,762","11,602","14,104","10,616","10,621","11,701","11,370","119,632",2.69%
10,MALAYSIA,"6,994","8,730","9,461","8,992","8,003","7,630","7,947","7,253","7,488","7,111","79,609",1.79%
11,HONG KONG - SAR,"9,903","4,658","6,249","11,729","5,283","5,369","5,829","5,398","5,239","6,887","66,544",1.50%
12,INDIA,"6,490","5,381","7,027","6,189","5,296","5,338","5,987","5,922","5,553","5,321","58,504",1.32%
13,GERMANY,"7,282","7,775","10,015","7,513","4,434","3,325","4,628","4,520","3,631","4,878","58,001",1.30%
14,VIETNAM,"4,607","5,674","6,930","6,527","6,139","6,981","6,105","5,295","4,616","4,778","57,652",1.30%
15,INDONESIA,"3,814","5,216","5,128","5,525","4,131","4,248","4,244","3,942","4,460","4,355","45,063",1.01%
16,FRANCE,"5,904","7,462","7,273","5,699","2,814","1,467","3,632","2,591","1,959","3,038","41,839",0.94%
17,THAILAND,"3,182","3,315","4,136","4,544","3,075","3,187","3,603","2,583","3,033","3,563","34,221",0.77%
18,GUAM,"2,274","2,449","3,255","2,714","2,190","3,959","3,966","2,151","2,352","3,093","28,403",0.64%
19,UNITED ARAB EMIRATES,"1,102","2,437","3,748","3,116","2,304","2,859","3,053","2,708","2,867","3,056","27,250",0.61%
20,SPAIN,"2,969","2,634","3,034","2,691","1,648","1,729","3,450","4,132","2,159","2,511","26,957",0.61%
21,NETHERLANDS,"3,061","2,814","3,054","3,237","2,166","1,519","3,394","1,900","1,740","2,291","25,176",0.57%
22,NEW ZEALAND,"2,338","2,028","2,276","2,714","2,152","2,430","2,177","1,688","1,953","2,105","21,861",0.49%
23,SWITZERLAND,"2,201","2,475","2,660","2,918","1,291",922,"2,084",885,"1,165","1,670","18,271",0.41%
24,RUSSIA,"3,153","3,752","2,735","2,030","1,122",863,958,967,947,"1,595","18,122",0.41%
25,ITALY,"2,274","2,200","2,059","1,609",954,"1,251","1,729","2,287","1,002","1,311","16,676",0.38%
26,SAUDI ARABIA,"1,365","1,968","1,727","1,819","1,912","1,784","1,721","1,375","1,468","1,441","16,580",0.37%
27,NORWAY,"1,567","1,716","1,529","1,209",773,"3,235","3,508",843,843,"1,035","16,258",0.37%
28,IRELAND,"1,317","1,056","1,325","1,230","1,087","2,475","1,896","1,056",850,"1,052","13,344",0.30%
29,SWEDEN,"1,887","1,816","1,753","1,252",826,"1,617","1,254",662,672,920,"12,659",0.28%
30,ISRAEL,"1,888","1,637","1,955","1,355",836,697,"1,051",893,"1,325",635,"12,272",0.28%
31,BELGIUM,"1,221","1,291","1,353","1,184",890,991,"2,273",827,778,"1,072","11,880",0.27%
32,NORTH KOREA,"1,440","1,439","1,341","1,134","1,205","1,325","1,638","1,605",292,46,"11,465",0.26%
33,AUSTRIA,"1,716","1,462","1,197","1,071",735,738,"1,410",805,520,865,"10,519",0.24%
34,DENMARK,"1,450","1,318","1,307","1,084",740,784,"1,056",462,661,940,"9,802",0.22%
35,QATAR,393,816,990,"1,220",716,916,841,754,895,"1,031","8,572",0.19%
36,TURKEY,824,"1,014","1,103",832,617,758,629,643,687,765,"7,872",0.18%
37,POLAND,875,"1,263","1,089",934,443,325,312,288,371,749,"6,649",0.15%
38,KUWAIT,413,715,613,704,608,776,565,618,426,451,"5,889",0.13%
39,BRUNEI,416,545,578,779,431,504,507,470,454,530,"5,214",0.12%
40,MYANMAR,358,309,355,441,585,526,608,542,677,656,"5,057",0.11%
41,PAPUA NEW GUINEA,381,400,410,465,443,619,536,448,733,573,"5,008",0.11%
42,BAHRAIN,231,453,427,416,416,489,547,523,605,633,"4,740",0.11%
43,CZECH REPUBLIC,629,885,818,482,226,174,278,214,257,491,"4,454",0.10%
44,MONGOLIA,972,765,493,260,228,465,315,207,206,185,"4,096",0.09%
45,MACAU - SAR,276,195,407,638,361,408,422,425,324,432,"3,888",0.09%
46,SOUTH AFRICA,406,321,374,538,283,310,371,286,349,314,"3,552",0.08%
47,FINLAND,512,412,473,345,257,418,304,270,210,267,"3,468",0.08%
48,BANGLADESH,269,303,351,458,262,276,283,344,506,407,"3,459",0.08%
49,BRAZIL,454,443,515,437,264,256,213,193,239,306,"3,320",0.07%
50,CAMBODIA,236,332,405,404,294,278,247,335,321,401,"3,253",0.07%
51,PORTUGAL,310,364,476,448,268,136,161,304,216,344,"3,027",0.07%
52,NEPAL,251,236,363,383,244,316,291,309,316,307,"3,016",0.07%
53,ROMANIA,489,549,487,360,170,168,131,211,176,248,"2,989",0.07%
54,NIGERIA,387,427,321,300,274,259,242,291,221,212,"2,934",0.07%
55,PAKISTAN,287,225,273,172,236,225,284,248,345,272,"2,567",0.06%
56,MEXICO,193,173,320,312,194,167,198,248,247,282,"2,334",0.05%
57,GREECE,313,290,281,244,146,148,126,351,188,208,"2,295",0.05%
58,OMAN,133,192,229,219,216,290,334,197,231,186,"2,227",0.05%
59,SRI LANKA,158,188,259,214,201,280,214,192,241,207,"2,154",0.05%
60,NORTHERN MARIANA ISLANDS,130,144,200,174,143,484,413,203,112,150,"2,153",0.05%
61,HUNGARY,217,273,263,156,173,191,111,116,146,140,"1,786",0.04%
62,URUGUAY,91,125,703,522,79,26,25,18,21,39,"1,649",0.04%
63,BULGARIA,351,296,271,145,115,59,85,75,75,143,"1,615",0.04%
64,LITHUANIA,244,286,193,108,59,31,57,349,89,87,"1,503",0.03%
65,ARGENTINA,274,203,240,199,134,84,70,76,105,113,"1,498",0.03%
66,SLOVAKIA,210,289,227,232,110,61,75,62,70,155,"1,491",0.03%
67,COLOMBIA,177,136,158,202,133,120,120,108,161,166,"1,481",0.03%
68,MOROCCO,131,213,102,107,178,102,143,217,159,120,"1,472",0.03%
69,UNITED STATES MINOR OUTLYING ISLANDS,92,119,132,103,77,101,142,81,220,327,"1,394",0.03%
70,CHILE,168,193,169,158,129,95,67,75,85,146,"1,285",0.03%
71,EGYPT,111,123,90,144,87,89,121,137,128,94,"1,124",0.03%
72,KAZAKHSTAN,181,132,190,115,100,88,90,70,79,76,"1,121",0.03%
73,MALDIVES,116,99,98,45,71,93,196,115,129,129,"1,091",0.02%
74,ICELAND,95,67,89,89,135,240,145,48,70,61,"1,039",0.02%
74,CYPRUS,95,93,131,103,76,99,169,140,63,70,"1,039",0.02%
75,SLOVENIA,162,125,97,149,41,49,95,58,138,121,"1,035",0.02%
76,PALAU,91,117,166,96,68,95,113,81,99,92,"1,018",0.02%
77,CROATIA,144,130,141,118,82,89,58,61,73,98,994,0.02%
78,MALTA,112,120,168,102,95,50,98,73,46,57,921,0.02%
79,IRAN,65,88,325,53,70,49,48,54,81,68,901,0.02%
80,LATVIA,125,137,93,58,38,24,70,55,209,73,882,0.02%
81,SERBIA,55,61,81,58,48,21,40,240,218,42,864,0.02%
82,KENYA,63,55,78,98,61,56,83,75,109,115,793,0.02%
83,ESTONIA,167,206,103,69,40,27,35,28,41,58,774,0.02%
84,LUXEMBOURG,70,82,121,120,49,34,71,103,47,75,772,0.02%
85,LAOS,64,86,81,166,70,60,52,53,64,75,771,0.02%
86,MICRONESIA,69,73,96,88,40,68,77,65,60,59,695,0.02%
87,TUNISIA,80,125,89,56,83,20,53,76,60,50,692,0.02%
88,UKRAINE,87,103,76,63,40,61,68,52,54,67,671,0.02%
89,PERU,56,73,73,61,58,41,35,49,101,56,603,0.01%
90,UZBEKISTAN,35,47,52,49,69,96,70,64,58,49,589,0.01%
91,FIJI,42,51,78,52,48,72,60,51,70,56,580,0.01%
92,JORDAN,89,60,43,33,51,45,45,60,61,30,517,0.01%
93,LEBANON,42,75,45,66,41,51,34,46,47,47,494,0.01%
94,GHANA,31,25,28,51,35,37,46,87,61,89,490,0.01%
95,CAMEROON,33,49,39,73,34,43,38,51,55,63,478,0.01%
95,SOLOMON ISLANDS,27,20,17,37,42,51,93,58,82,51,478,0.01%
96,MARSHALL ISLANDS,29,59,45,47,37,52,56,48,46,47,466,0.01%
97,ISLE OF MAN,44,37,55,46,30,30,50,57,26,51,426,0.01%
98,TIMOR-LESTE,39,57,25,26,26,42,68,55,55,26,419,0.01%
99,COSTA RICA,50,51,59,60,36,28,22,20,44,40,410,0.01%
100,ECUADOR,34,42,47,49,17,21,12,25,48,25,320,0.01%
Pp,ARMENIA,17,35,44,23,10,9,78,19,31,31,297,0.01%
102,GEORGIA,31,35,41,28,21,20,43,13,19,36,287,0.01%
103,JERSEY,43,37,47,36,34,17,22,23,7,16,282,0.01%
104,KYRGYZSTAN,37,33,39,27,46,23,12,15,17,26,275,0.01%
104,AMERICAN SAMOA,38,38,30,25,17,27,33,22,15,30,275,0.01%
104,UGANDA,15,15,20,30,26,37,24,23,38,47,275,0.01%
105,PUERTO RICO,26,20,22,37,13,25,25,53,22,31,274,0.01%
106,MAURITIUS,24,32,44,31,23,18,21,29,22,25,269,0.01%
107,ETHIOPIA,20,19,43,24,25,9,16,31,27,32,246,0.01%
